role,source_split,profile,level,pair_id,condition,space,metric,value
primary,test,bursty,120,14,attack_sweep_bursty,2048,B2_benign_trigger,1.0
primary,test,bursty,120,14,attack_sweep_bursty,2048,B2_FNR,0.0
primary,test,bursty,120,14,attack_sweep_bursty,2048,B2_J,0.0
primary,test,bursty,120,14,attack_sweep_bursty,2048,B5_initial_attack_alert,1.0
primary,test,bursty,120,14,attack_sweep_bursty,2048,B5_initial_benign_trigger,1.0
primary,test,bursty,120,14,attack_sweep_bursty,2048,B5_initial_FNR,0.0
primary,test,bursty,120,14,attack_sweep_bursty,2048,B5_initial_J,0.0
primary,test,bursty,120,14,attack_sweep_bursty,2048,B5_locked_attack_alert,0.9933333333333333
primary,test,bursty,120,14,attack_sweep_bursty,2048,B5_locked_benign_trigger,0.98
primary,test,bursty,120,14,attack_sweep_bursty,2048,B5_locked_FNR,0.00666666666666671
primary,test,bursty,120,14,attack_sweep_bursty,2048,B5_locked_J,0.013333333333333308
primary,test,bursty,120,14,attack_sweep_bursty,65536,entropy_AP,0.502544010907962
primary,test,bursty,120,14,attack_sweep_bursty,65536,unique_ratio_AP,0.5121262047466371
primary,test,bursty,120,14,attack_sweep_bursty,65536,B2_attack_alert,1.0
primary,test,bursty,120,14,attack_sweep_bursty,65536,B2_benign_trigger,1.0
primary,test,bursty,120,14,attack_sweep_bursty,65536,B2_FNR,0.0
primary,test,bursty,120,14,attack_sweep_bursty,65536,B2_J,0.0
primary,test,bursty,120,14,attack_sweep_bursty,65536,B5_initial_attack_alert,1.0
primary,test,bursty,120,14,attack_sweep_bursty,65536,B5_initial_benign_trigger,1.0
primary,test,bursty,120,14,attack_sweep_bursty,65536,B5_initial_FNR,0.0
primary,test,bursty,120,14,attack_sweep_bursty,65536,B5_initial_J,0.0
primary,test,bursty,120,14,attack_sweep_bursty,65536,B5_locked_attack_alert,0.9933333333333333
primary,test,bursty,120,14,attack_sweep_bursty,65536,B5_locked_benign_trigger,0.9933333333333333
primary,test,bursty,120,14,attack_sweep_bursty,65536,B5_locked_FNR,0.00666666666666671
primary,test,bursty,120,14,attack_sweep_bursty,65536,B5_locked_J,0.0
primary,test,bursty,120,17,attack_sweep_bursty,2048,entropy_AP,0.5551267609216173
primary,test,bursty,120,17,attack_sweep_bursty,2048,unique_ratio_AP,0.8019597546981285
primary,test,bursty,120,17,attack_sweep_bursty,2048,B2_attack_alert,1.0
primary,test,bursty,120,17,attack_sweep_bursty,2048,B2_benign_trigger,1.0
primary,test,bursty,120,17,attack_sweep_bursty,2048,B2_FNR,0.0
primary,test,bursty,120,17,attack_sweep_bursty,2048,B2_J,0.0
primary,test,bursty,120,17,attack_sweep_bursty,2048,B5_initial_attack_alert,1.0
primary,test,bursty,120,17,attack_sweep_bursty,2048,B5_initial_benign_trigger,1.0
primary,test,bursty,120,17,attack_sweep_bursty,2048,B5_initial_FNR,0.0
primary,test,bursty,120,17,attack_sweep_bursty,2048,B5_initial_J,0.0
primary,test,bursty,120,17,attack_sweep_bursty,2048,B5_locked_attack_alert,1.0
primary,test,bursty,120,17,attack_sweep_bursty,2048,B5_locked_benign_trigger,0.9866666666666667
primary,test,bursty,120,17,attack_sweep_bursty,2048,B5_locked_FNR,0.0
primary,test,bursty,120,17,attack_sweep_bursty,2048,B5_locked_J,0.013333333333333308
primary,test,bursty,120,17,attack_sweep_bursty,65536,entropy_AP,0.5008398410803859
primary,test,bursty,120,17,attack_sweep_bursty,65536,unique_ratio_AP,0.5050505050505051
primary,test,bursty,120,17,attack_sweep_bursty,65536,B2_attack_alert,1.0
