role,profile,level,condition,space,metric,mean,ci_low,ci_high,pairs
primary,continuous,120,attack_sweep_continuous,65536,B5_initial_attack_alert,1.0,1.0,1.0,6
primary,continuous,120,attack_sweep_continuous,65536,B5_initial_benign_trigger,1.0,1.0,1.0,6
primary,continuous,120,attack_sweep_continuous,65536,B5_locked_FNR,0.0,0.0,0.0,6
primary,continuous,120,attack_sweep_continuous,65536,B5_locked_J,0.0,0.0,0.0,6
primary,continuous,120,attack_sweep_continuous,65536,B5_locked_attack_alert,1.0,1.0,1.0,6
primary,continuous,120,attack_sweep_continuous,65536,B5_locked_benign_trigger,1.0,1.0,1.0,6
primary,continuous,120,attack_sweep_continuous,65536,entropy_AP,0.5052373754543293,0.5006137354274403,0.5100505133016672,6
primary,continuous,120,attack_sweep_continuous,65536,unique_ratio_AP,0.5211004061619301,0.5010284175098929,0.5391382894248261,6
primary,continuous,200,attack_sweep_continuous,2048,B2_FNR,0.0,0.0,0.0,6
primary,continuous,200,attack_sweep_continuous,2048,B2_J,0.0,0.0,0.0,6
primary,continuous,200,attack_sweep_continuous,2048,B2_attack_alert,1.0,1.0,1.0,6
primary,continuous,200,attack_sweep_continuous,2048,B2_benign_trigger,1.0,1.0,1.0,6
primary,continuous,200,attack_sweep_continuous,2048,B5_initial_FNR,0.0,0.0,0.0,6
primary,continuous,200,attack_sweep_continuous,2048,B5_initial_J,0.0,0.0,0.0,6
primary,continuous,200,attack_sweep_continuous,2048,B5_initial_attack_alert,1.0,1.0,1.0,6
primary,continuous,200,attack_sweep_continuous,2048,B5_initial_benign_trigger,1.0,1.0,1.0,6
primary,continuous,200,attack_sweep_continuous,2048,B5_locked_FNR,0.0,0.0,0.0,6
primary,continuous,200,attack_sweep_continuous,2048,B5_locked_J,0.0,0.0,0.0,6
primary,continuous,200,attack_sweep_continuous,2048,B5_locked_attack_alert,1.0,1.0,1.0,6
primary,continuous,200,attack_sweep_continuous,2048,B5_locked_benign_trigger,1.0,1.0,1.0,6
primary,continuous,200,attack_sweep_continuous,2048,entropy_AP,0.7179235448603674,0.6982289903241595,0.7376453282873688,6
primary,continuous,200,attack_sweep_continuous,2048,unique_ratio_AP,0.9886723124780903,0.9834729600840549,0.9931985007962899,6
primary,continuous,200,attack_sweep_continuous,65536,B2_FNR,0.0,0.0,0.0,6
primary,continuous,200,attack_sweep_continuous,65536,B2_J,0.0,0.0,0.0,6
primary,continuous,200,attack_sweep_continuous,65536,B2_attack_alert,1.0,1.0,1.0,6
primary,continuous,200,attack_sweep_continuous,65536,B2_benign_trigger,1.0,1.0,1.0,6
primary,continuous,200,attack_sweep_continuous,65536,B5_initial_FNR,0.0,0.0,0.0,6
primary,continuous,200,attack_sweep_continuous,65536,B5_initial_J,0.0,0.0,0.0,6
primary,continuous,200,attack_sweep_continuous,65536,B5_initial_attack_alert,1.0,1.0,1.0,6
primary,continuous,200,attack_sweep_continuous,65536,B5_initial_benign_trigger,1.0,1.0,1.0,6
primary,continuous,200,attack_sweep_continuous,65536,B5_locked_FNR,0.0,0.0,0.0,6
primary,continuous,200,attack_sweep_continuous,65536,B5_locked_J,0.0,0.0,0.0,6
primary,continuous,200,attack_sweep_continuous,65536,B5_locked_attack_alert,1.0,1.0,1.0,6
primary,continuous,200,attack_sweep_continuous,65536,B5_locked_benign_trigger,1.0,1.0,1.0,6
primary,continuous,200,attack_sweep_continuous,65536,entropy_AP,0.5117144667122039,0.5062726785880697,0.518733210158797,6
primary,continuous,200,attack_sweep_continuous,65536,unique_ratio_AP,0.5465687165356895,0.5259964302371875,0.5645482615872527,6
secondary,continuous,24,attack_dup_sweep_continuous,2048,B2_FNR,0.4766666666666666,0.42666666666666675,0.54,6
secondary,continuous,24,attack_dup_sweep_continuous,2048,B2_J,0.0,0.0,0.0,6
secondary,continuous,24,attack_dup_sweep_continuous,2048,B2_attack_alert,0.5233333333333333,0.45999999999999996,0.5733333333333333,6
secondary,continuous,24,attack_dup_sweep_continuous,2048,B2_benign_trigger,0.5233333333333333,0.45999999999999996,0.5744444444444444,6
secondary,continuous,24,attack_dup_sweep_continuous,2048,B5_initial_FNR,1.0,1.0,1.0,6
secondary,continuous,24,attack_dup_sweep_continuous,2048,B5_initial_J,-0.5233333333333333,-0.5744444444444444,-0.45999999999999996,6
secondary,continuous,24,attack_dup_sweep_continuous,2048,B5_initial_attack_alert,0.0,0.0,0.0,6
secondary,continuous,24,attack_dup_sweep_continuous,2048,B5_initial_benign_trigger,0.5233333333333333,0.46222222222222215,0.5755555555555555,6
secondary,continuous,24,attack_dup_sweep_continuous,2048,B5_locked_FNR,1.0,1.0,1.0,6
secondary,continuous,24,attack_dup_sweep_continuous,2048,B5_locked_J,0.0,0.0,0.0,6
secondary,continuous,24,attack_dup_sweep_continuous,2048,B5_locked_attack_alert,0.0,0.0,0.0,6
secondary,continuous,24,attack_dup_sweep_continuous,2048,B5_locked_benign_trigger,0.0,0.0,0.0,6
secondary,continuous,24,attack_dup_sweep_continuous,2048,entropy_AP,0.3155927717978248,0.31441609671174175,0.31709810434201136,6
secondary,continuous,24,attack_dup_sweep_continuous,2048,unique_ratio_AP,0.3156686422925643,0.3153223917593497,0.3159120473810757,6
secondary,continuous,24,attack_dup_sweep_continuous,65536,B2_FNR,0.4766666666666666,0.42555555555555563,0.54,6
secondary,continuous,24,attack_dup_sweep_continuous,65536,B2_J,0.0,0.0,0.0,6
secondary,continuous,24,attack_dup_sweep_continuous,65536,B2_attack_alert,0.5233333333333333,0.46222222222222215,0.5733333333333334,6
secondary,continuous,24,attack_dup_sweep_continuous,65536,B2_benign_trigger,0.5233333333333333,0.45999999999999996,0.5744444444444444,6
secondary,continuous,24,attack_dup_sweep_continuous,65536,B5_initial_FNR,1.0,1.0,1.0,6
secondary,continuous,24,attack_dup_sweep_continuous,65536,B5_initial_J,-0.5233333333333333,-0.5744444444444444,-0.46222222222222215,6
secondary,continuous,24,attack_dup_sweep_continuous,65536,B5_initial_attack_alert,0.0,0.0,0.0,6
secondary,continuous,24,attack_dup_sweep_continuous,65536,B5_initial_benign_trigger,0.5233333333333333,0.4566666666666667,0.5744444444444444,6
secondary,continuous,24,attack_dup_sweep_continuous,65536,B5_locked_FNR,1.0,1.0,1.0,6
secondary,continuous,24,attack_dup_sweep_continuous,65536,B5_locked_J,0.0,0.0,0.0,6
secondary,continuous,24,attack_dup_sweep_continuous,65536,B5_locked_attack_alert,0.0,0.0,0.0,6
secondary,continuous,24,attack_dup_sweep_continuous,65536,B5_locked_benign_trigger,0.0,0.0,0.0,6
secondary,continuous,24,attack_dup_sweep_continuous,65536,entropy_AP,0.315219737533605,0.31412224087673674,0.31684460690388205,6
secondary,continuous,24,attack_dup_sweep_continuous,65536,unique_ratio_AP,0.3155448782626901,0.3149052975385691,0.3159527819455012,6
secondary,continuous,24,attack_fixed_continuous,2048,B2_FNR,0.4766666666666666,0.42555555555555563,0.5377777777777778,6
secondary,continuous,24,attack_fixed_continuous,2048,B2_J,0.0,0.0,0.0,6
secondary,continuous,24,attack_fixed_continuous,2048,B2_attack_alert,0.5233333333333333,0.45991666666666664,0.5744444444444444,6
secondary,continuous,24,attack_fixed_continuous,2048,B2_benign_trigger,0.5233333333333333,0.4566666666666667,0.5744444444444444,6
secondary,continuous,24,attack_fixed_continuous,2048,B5_initial_FNR,1.0,1.0,1.0,6
secondary,continuous,24,attack_fixed_continuous,2048,B5_initial_J,-0.5233333333333333,-0.5733333333333334,-0.45991666666666786,6
secondary,continuous,24,attack_fixed_continuous,2048,B5_initial_attack_alert,0.0,0.0,0.0,6
secondary,continuous,24,attack_fixed_continuous,2048,B5_initial_benign_trigger,0.5233333333333333,0.45999999999999996,0.5733333333333334,6
secondary,continuous,24,attack_fixed_continuous,2048,B5_locked_FNR,1.0,1.0,1.0,6
secondary,continuous,24,attack_fixed_continuous,2048,B5_locked_J,0.0,0.0,0.0,6
secondary,continuous,24,attack_fixed_continuous,2048,B5_locked_attack_alert,0.0,0.0,0.0,6
